eventID,basisOfRecord,occurrenceID,individualCount,identificationVerificationStatus,scientificName,kingdom,vernacularName
VIS_796,HumanObservation,VIS_796,519,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_797,HumanObservation,VIS_797,6,verified by experts,Pseudorasbora parva,Animalia,blauwbandgrondel
VIS_798,HumanObservation,VIS_798,5,verified by experts,Abramis brama,Animalia,brasem
VIS_799,HumanObservation,VIS_799,23,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_800,HumanObservation,VIS_800,14,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_801,HumanObservation,VIS_801,9,verified by experts,Cyprinus carpio,Animalia,karper
VIS_802,HumanObservation,VIS_802,2,verified by experts,Abramis bjoerkna,Animalia,kolblei
VIS_805,HumanObservation,VIS_805,1,verified by experts,Gymnocephalus cernua,Animalia,pos
VIS_806,HumanObservation,VIS_806,2,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_807,HumanObservation,VIS_807,424,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_812,HumanObservation,VIS_812,2,verified by experts,Tinca tinca,Animalia,zeelt
VIS_814,HumanObservation,VIS_814,5,verified by experts,Perca fluviatilis,Animalia,baars
VIS_817,HumanObservation,VIS_817,38,verified by experts,Rutilus rutilus,Animalia,blankvoorn
VIS_818,HumanObservation,VIS_818,4,verified by experts,Pseudorasbora parva,Animalia,blauwbandgrondel
VIS_819,HumanObservation,VIS_819,3,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_820,HumanObservation,VIS_820,7,verified by experts,Carassius auratus gibelio,Animalia,giebel
VIS_821,HumanObservation,VIS_821,3,verified by experts,Cyprinus carpio,Animalia,karper
VIS_822,HumanObservation,VIS_822,1,verified by experts,Abramis bjoerkna,Animalia,kolblei
VIS_824,HumanObservation,VIS_824,16,verified by experts,Gymnocephalus cernua,Animalia,pos
VIS_825,HumanObservation,VIS_825,2,verified by experts,Scardinius erythrophthalmus,Animalia,rietvoorn
VIS_826,HumanObservation,VIS_826,10,verified by experts,Gobio gobio,Animalia,riviergrondel
VIS_848,HumanObservation,VIS_848,10,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_849,HumanObservation,VIS_849,19,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_852,HumanObservation,VIS_852,383,verified by experts,Gasterosteus aculeatus,Animalia,driedoornige stekelbaars
VIS_853,HumanObservation,VIS_853,1,verified by experts,Rutilus rutilus,Animalia,blankvoorn
