eventID,measurementType,measurementValue,measurementUnit
VIS_23240,weight,6.10,g
VIS_23241,length,10.9,cm
VIS_23241,sampling distance,100.0,meter
VIS_23241,weight,7.80,g
VIS_23242,length,11.2,cm
VIS_23242,sampling distance,100.0,meter
VIS_23242,weight,8.90,g
VIS_23243,length,12.8,cm
VIS_23243,sampling distance,100.0,meter
VIS_23243,weight,25.80,g
VIS_23244,length,11.2,cm
VIS_23244,sampling distance,100.0,meter
VIS_23244,weight,21.00,g
VIS_23245,length,13.6,cm
VIS_23245,sampling distance,100.0,meter
VIS_23245,weight,32.00,g
VIS_23246,length,11.4,cm
VIS_23246,sampling distance,100.0,meter
VIS_23246,weight,20.40,g
VIS_23247,length,10.2,cm
VIS_23247,sampling distance,100.0,meter
VIS_23247,weight,13.40,g
VIS_23248,length,9.3,cm
VIS_23248,sampling distance,100.0,meter
VIS_23248,weight,10.30,g
VIS_23249,length,8.0,cm
VIS_23249,sampling distance,100.0,meter
VIS_23249,weight,5.30,g
VIS_23250,length,10.2,cm
VIS_23250,sampling distance,100.0,meter
VIS_23250,weight,14.80,g
VIS_23255,sampling distance,100.0,meter
VIS_23255,weight,72.00,g
VIS_23256,sampling distance,100.0,meter
VIS_23256,weight,222.50,g
VIS_23262,length,13.8,cm
VIS_23262,sampling distance,100.0,meter
VIS_23262,weight,15.60,g
VIS_23263,length,9.4,cm
VIS_23263,sampling distance,100.0,meter
VIS_23263,weight,4.70,g
VIS_23264,length,10.5,cm
VIS_23264,sampling distance,100.0,meter
VIS_23264,weight,7.50,g
VIS_23265,length,8.9,cm
VIS_23265,sampling distance,100.0,meter
VIS_23265,weight,4.00,g
VIS_23274,length,7.2,cm
VIS_23274,sampling distance,100.0,meter
VIS_23274,weight,3.50,g
VIS_23275,length,6.8,cm
VIS_23275,sampling distance,100.0,meter
VIS_23275,weight,2.50,g
VIS_23276,length,10.2,cm
VIS_23276,sampling distance,100.0,meter
VIS_23276,weight,11.20,g
VIS_23277,length,8.0,cm
VIS_23277,sampling distance,100.0,meter
VIS_23277,weight,6.60,g
VIS_23278,length,8.7,cm
VIS_23278,sampling distance,100.0,meter
VIS_23278,weight,8.60,g
VIS_23279,length,9.2,cm
VIS_23279,sampling distance,100.0,meter
VIS_23279,weight,10.10,g
